ID,Name,Pos,League,Team,Org,LgLvl,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,PotCntct,PotGap,PotPow,PotEye,PotKs,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CAb,CArm,P,C,1B,2B,3B,SS,LF,CF,RF,Speed,Steal,Run,SacBunt,BuntHit,Stf,Mov,Ctrl,PotStf,PotMov,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead
19,"Chris Pique",3B,110,209,18,5,22,189,R,R,45,45,30,40,45,50,45,45,50,50,45,40,60,30,35,45,65,20,20,0,0,0,0,30,0,0,0,0,40,40,50,30,20,20,30,20,20,30,20,80-83,48,20,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,H,N,N,N,L
20,"Alfredo Martínez",SP,110,216,4,5,22,187,R,L,35,35,20,20,35,40,35,20,20,45,20,30,75,20,20,20,30,20,20,20,0,0,0,0,0,0,0,0,20,20,20,45,20,40,35,30,50,35,35,87-89,54,65,70,0,0,35,0,35,40,0,35,0,0,40,0,0,0,35,0,40,55,0,35,0,0,50,0,N,N,H,N,N
21,"Von Randolph",RP,109,194,21,4,22,186,R,R,35,35,20,25,30,35,35,25,25,35,25,25,45,25,20,30,35,20,25,35,0,0,0,0,0,0,0,0,20,20,30,70,20,50,55,30,60,55,40,95-97,59,40,50,60,0,0,45,0,20,0,0,0,0,0,0,65,0,0,55,0,25,0,0,0,0,0,0,N,N,N,N,N
22,"Danny St. John",SS,143,346,13,6,21,188,R,R,35,45,25,45,30,40,45,30,60,35,40,65,55,45,25,40,50,20,20,0,0,0,35,0,0,0,0,0,65,65,65,35,45,20,25,20,20,25,25,80-83,40,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,H
25,"Sébastien Boivin",C,104,138,14,3,20,203,L,R,40,50,30,45,35,40,50,45,55,35,25,35,40,20,20,25,35,50,55,0,30,0,0,0,0,0,0,0,25,30,20,35,30,20,30,20,20,30,20,80-83,41,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,H,N,N,N,N
26,"Ron Johnson",1B,109,199,25,4,21,197,L,R,40,55,45,55,40,45,55,55,60,40,30,25,30,25,30,25,35,20,20,0,0,30,0,0,0,0,0,0,30,25,25,45,20,20,30,20,20,30,20,80-83,44,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,L,N,N
27,"Silvino López",SP,114,258,17,6,21,201,R,R,40,35,25,20,35,40,35,25,25,45,25,30,60,20,25,25,30,20,20,40,0,0,0,0,0,0,0,0,35,20,25,80,25,55,35,35,65,35,40,95-97,56,70,55,55,0,0,45,0,20,55,0,0,55,0,0,60,0,0,50,0,45,60,0,0,70,0,0,N,L,N,L,N
29,"A.C. Johnston",2B,103,130,16,3,22,181,L,R,45,65,45,40,40,50,65,55,60,45,40,35,60,40,45,40,65,20,20,0,0,0,0,0,0,0,20,0,30,35,20,40,20,20,30,20,20,30,25,80-83,46,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,L
31,"Cliff Taylor",SP,115,337,11,6,21,187,L,L,25,35,20,20,20,35,35,20,20,25,20,30,50,20,20,20,35,20,20,20,0,0,0,0,0,0,0,0,20,20,25,70,20,45,35,45,45,35,55,89-91,47,60,55,50,0,0,55,0,40,0,0,0,0,0,0,55,0,0,55,0,40,0,0,0,0,0,0,N,N,N,N,N
32,"Jamie Fisher",1B,105,148,25,4,21,184,S,R,45,50,55,70,45,50,50,65,80,55,35,40,55,30,30,35,60,20,20,0,0,45,0,25,0,0,0,0,30,40,30,40,35,20,30,20,20,30,20,80-83,43,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N
33,"Bob Nesbitt",RF,109,198,9,4,21,194,L,L,45,50,40,50,35,45,50,45,55,40,20,20,30,20,45,55,50,20,25,0,0,20,0,0,0,0,0,25,20,40,35,65,35,20,30,20,20,30,20,80-83,43,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,N,H,L
34,"Scotty Green",C,105,155,15,4,21,178,R,R,35,50,30,40,35,40,50,35,50,40,20,30,25,20,20,35,25,40,35,0,0,0,0,0,0,0,0,0,25,30,45,30,20,20,30,20,20,30,20,80-83,43,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,L,L,N,N,N
35,"Dave Case",RP,109,192,22,4,21,190,L,L,35,40,25,20,30,35,40,25,20,30,20,30,40,20,20,20,35,20,20,20,0,0,0,0,0,0,0,0,20,20,20,60,20,50,30,40,55,30,40,92-94,42,55,70,50,0,0,0,50,20,0,0,0,0,0,0,60,0,0,0,65,20,0,0,0,0,0,0,L,L,H,L,L
114,"Christopher Bourguignon",RP,143,348,27,6,21,200,R,R,35,35,20,25,30,40,35,25,25,40,25,30,35,25,20,25,25,20,20,30,0,0,0,0,0,0,0,0,20,20,20,50,20,45,30,30,45,30,35,93-95,46,65,45,45,0,0,35,40,0,0,0,0,0,0,0,45,0,0,45,45,0,0,0,0,0,0,0,N,N,L,N,L
187,"Ken Arnold",3B,115,266,15,6,22,188,R,R,40,50,35,45,30,45,50,40,50,40,35,45,65,30,20,55,55,20,25,0,0,50,0,25,0,0,0,0,20,75,50,35,20,20,30,20,20,30,25,80-83,45,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,L,H,L,H,N
293,"Juan Oliva",SS,143,350,18,6,22,190,R,R,40,45,30,35,35,40,50,30,40,35,30,75,55,55,45,50,55,20,20,0,0,0,0,0,0,0,0,0,75,40,50,75,45,20,25,20,20,25,20,80-83,39,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N
298,"Chad Crawford",3B,110,210,30,5,22,195,R,R,45,50,25,50,50,45,50,30,55,60,50,45,60,35,45,40,60,20,20,0,0,0,0,35,0,0,0,0,35,30,40,35,35,20,30,25,20,30,25,80-83,47,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,H,N,N,N,N
325,"Mike Sharp",C,115,265,13,6,22,189,R,R,40,50,40,40,35,40,50,45,45,40,20,40,45,20,20,40,45,45,50,0,0,25,0,0,0,0,0,0,20,20,25,35,20,20,30,20,20,30,20,80-83,50,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,H,L,L
342,"Salvatore Costa",RP,108,177,7,4,22,184,R,R,35,35,25,25,35,40,35,30,30,40,25,30,65,40,25,30,30,20,20,40,0,0,0,0,0,0,0,0,20,20,20,40,20,50,35,35,60,35,40,94-96,41,65,50,50,0,0,0,0,20,50,0,0,0,0,0,65,0,0,0,0,20,60,0,0,0,0,0,N,N,N,N,N
364,"Joe Blackburn",RP,110,219,20,5,21,200,R,R,20,40,20,25,20,20,40,20,25,20,25,25,55,35,20,25,35,20,20,35,0,0,0,0,0,0,0,0,30,20,30,75,20,45,35,25,50,35,25,94-96,48,75,60,55,0,0,35,40,30,0,0,0,0,0,0,60,0,0,35,40,50,0,0,0,0,0,0,L,L,N,N,N
372,"Juan Rivera",1B,0,0,0,0,35,191,L,L,45,45,70,75,50,45,45,70,75,50,20,35,65,20,45,80,80,20,20,0,0,35,0,0,0,0,0,55,20,45,20,25,20,20,30,25,20,30,25,80-83,45,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N
374,"Ben Payne",1B,143,357,23,6,22,192,L,L,40,55,35,35,35,45,55,45,40,45,50,45,55,25,35,50,65,20,20,0,0,60,0,0,0,0,0,0,45,55,50,40,35,20,30,25,20,30,25,80-83,46,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,N
391,"Bennie Hutchison",LF,107,167,26,4,22,198,S,R,40,65,45,40,35,40,65,55,45,35,35,35,45,30,20,60,60,20,20,0,0,50,0,20,0,0,0,0,60,25,20,45,25,20,30,20,20,30,20,80-83,45,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,H,N
414,"Ron Cain",SS,105,153,23,4,21,189,R,R,55,65,35,45,50,60,65,45,55,60,55,55,65,55,45,45,60,20,20,0,0,0,0,0,40,25,0,0,55,70,65,25,20,20,30,25,20,30,25,80-83,41,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,L,N,H,L,L
416,"Steve Bowman",RP,143,342,2,6,21,203,S,R,40,45,20,20,35,40,45,20,25,45,30,25,50,30,30,25,25,20,20,45,0,0,0,0,0,0,0,0,30,25,20,30,20,45,45,35,55,45,40,93-95,59,55,70,0,0,55,40,40,25,0,0,0,0,0,0,0,0,65,45,50,25,0,0,0,0,0,0,N,N,N,H,N
426,"Dave Madison",1B,110,207,19,5,21,189,R,R,40,60,45,50,35,45,60,55,60,45,20,30,30,25,25,30,30,20,20,0,0,25,0,0,0,0,0,0,20,25,20,40,25,20,25,20,20,25,20,80-83,40,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N
512,"Mal Johnson",3B,0,0,0,0,26,186,R,R,45,50,20,30,65,45,50,20,30,65,65,60,60,55,45,50,50,20,20,0,0,0,55,60,55,30,0,25,35,45,50,55,30,20,30,20,20,30,20,80-83,42,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N
714,"Wilbert Sanford",2B,108,193,8,4,22,188,R,R,45,50,25,35,50,50,50,30,50,55,50,50,35,45,20,40,25,20,20,0,0,0,35,0,0,0,0,0,75,40,20,50,20,20,30,20,20,30,20,80-83,42,20,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N
780,"Dave Hoffman",RP,110,215,21,5,22,198,L,R,40,40,25,25,45,45,40,25,25,50,20,25,40,25,20,25,25,20,20,20,0,0,0,0,0,0,0,0,20,40,20,75,25,40,35,40,45,35,45,89-91,48,70,35,40,0,0,30,35,0,40,0,0,0,0,0,45,0,0,30,35,0,40,0,0,0,0,0,N,N,H,N,N
782,"Steve Harper",3B,111,370,15,5,22,189,R,R,45,60,30,35,45,55,60,35,45,65,50,35,65,35,50,35,60,20,20,0,0,55,0,35,0,0,0,0,35,45,45,55,30,20,30,25,20,30,25,80-83,45,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N
789,"Rob Montgomery",CF,107,166,11,4,26,183,S,L,35,45,50,45,35,40,45,55,45,35,25,30,45,25,50,55,50,20,20,0,0,25,0,0,0,20,25,0,60,45,50,35,20,20,30,20,20,30,25,80-83,47,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,H,H,N,N,H
793,"Andy Francis",RP,107,166,11,4,26,185,R,R,35,35,25,25,25,35,35,25,30,30,30,30,50,20,35,35,35,20,20,45,0,0,0,0,0,0,0,0,20,20,20,40,20,60,55,45,65,55,45,96-98,60,25,50,0,0,55,0,65,0,0,0,0,0,0,0,0,0,60,0,65,0,0,0,0,0,0,0,H,N,N,H,N
803,"Danny Austin",CF,108,177,7,4,22,185,R,R,40,60,25,30,40,45,60,35,35,40,20,30,60,30,40,40,60,20,20,0,0,0,0,0,0,25,0,20,50,50,45,35,25,30,30,30,35,30,45,83-85,51,65,60,30,0,0,0,40,20,0,0,0,0,0,0,45,0,0,0,50,25,0,0,0,0,0,0,N,H,N,N,N
811,"Joey Smith",RP,104,143,20,3,22,187,R,R,30,35,20,30,25,30,40,20,30,25,35,30,50,25,25,25,30,20,20,50,0,0,0,0,0,0,0,0,20,20,25,70,20,55,50,40,60,50,50,95-97,59,50,45,55,0,0,30,55,25,0,0,0,0,0,0,65,0,0,30,60,35,0,0,0,0,0,0,H,N,N,N,H
821,"Esteban Arenas",CF,110,211,11,5,22,197,L,L,40,60,50,45,35,40,60,55,50,35,65,50,30,20,60,60,40,20,20,0,0,70,0,0,0,0,40,0,60,65,75,35,20,20,30,20,20,30,20,80-83,43,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,L,N,N,N,N
836,"Julián Córdova",1B,107,165,7,4,22,188,R,R,45,55,40,35,45,50,60,60,45,45,35,40,35,30,20,35,40,20,20,0,0,45,0,0,0,0,0,0,50,60,40,30,20,20,30,20,20,30,20,80-83,45,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,L,N,N,N,N
839,"Phil Lundberg",RP,108,178,23,4,22,191,L,L,30,35,20,25,25,35,35,20,25,25,25,30,50,25,25,25,30,20,25,35,0,0,0,0,0,0,0,0,20,20,20,65,20,40,35,30,45,35,40,88-90,52,75,55,40,0,35,35,40,0,0,0,0,0,0,0,45,0,40,40,40,0,0,0,0,0,0,0,N,N,H,N,N
859,"Stan Brown",SP,107,167,26,4,22,180,L,L,30,35,25,25,25,30,35,25,25,25,25,30,45,20,25,35,40,20,20,30,0,0,0,0,0,0,0,0,20,20,20,50,20,50,45,40,55,50,50,89-91,58,60,60,45,0,0,0,45,25,55,45,0,0,0,0,45,0,0,0,45,55,55,45,0,0,0,0,N,L,N,N,N
877,"Liam Edwards",RP,0,0,0,0,22,185,L,R,25,45,25,25,25,25,45,25,30,25,35,30,35,30,25,30,35,20,20,50,0,0,0,0,0,0,0,0,20,35,30,70,20,40,35,35,45,35,45,85-87,50,60,75,35,0,35,0,0,40,0,40,0,0,0,0,40,0,35,0,0,50,0,40,0,0,0,0,N,H,L,N,N
885,"Zach Tuttle",RP,111,368,17,5,23,185,S,L,25,45,25,30,25,30,45,25,30,25,20,30,50,25,20,30,30,20,20,20,0,0,0,0,0,0,0,0,20,20,20,65,20,55,30,35,55,30,40,89-91,42,55,60,50,0,45,0,50,60,0,0,0,0,0,0,50,0,45,0,55,60,0,0,0,0,0,0,N,L,L,N,N
894,"Joel Williamson",2B,107,168,19,4,26,188,R,R,45,50,45,50,40,45,50,45,55,45,45,55,55,60,35,50,55,20,20,0,0,0,40,40,25,25,0,25,65,65,75,35,25,20,30,20,20,30,20,80-83,45,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,L,L
900,"Tamwar Razavi",2B,101,101,26,2,22,187,R,R,50,60,45,50,50,60,65,55,60,55,45,60,40,60,30,50,30,20,25,0,0,0,50,0,0,0,0,0,50,30,20,35,20,20,30,25,20,30,25,80-83,45,20,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,H,L
935,"Mac Norton",2B,107,172,17,4,26,189,R,R,40,45,35,50,40,45,45,35,55,40,55,60,45,55,45,50,40,20,25,0,0,75,55,0,20,25,0,0,50,45,60,70,35,20,30,20,20,30,25,80-83,44,20,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,H,N,N,N,N
937,"Leon Carlson",RP,113,239,28,6,22,188,R,R,40,50,25,40,30,40,50,30,55,40,30,35,75,30,30,50,75,20,25,45,0,0,0,25,0,0,0,0,25,25,20,55,20,25,30,25,35,30,40,84-86,48,30,65,30,0,0,25,0,25,0,0,0,0,0,0,35,0,0,25,0,55,0,0,0,0,0,0,N,N,L,H,N
946,"Aurelio Padilla",C,107,173,10,4,22,182,R,R,40,50,25,40,35,40,50,30,50,40,25,30,30,20,35,25,25,55,35,0,25,0,0,0,0,0,0,0,20,20,20,50,25,20,30,20,20,30,25,80-83,42,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,N
951,"Rubén Santana",C,0,0,0,0,34,188,R,R,45,50,35,50,35,45,50,35,50,35,20,30,20,25,20,55,25,40,20,0,20,0,0,0,0,0,0,0,20,20,20,30,20,20,30,20,20,30,20,80-83,45,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,H,N,N
965,"Myron Thompson",C,109,194,21,4,22,183,S,R,40,45,25,35,45,40,45,25,40,50,20,25,30,25,20,20,30,50,35,0,0,0,0,0,0,0,0,0,60,55,60,50,20,20,30,20,20,30,20,80-83,43,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,H,N,L
969,"Ken Pomeroy",SS,107,164,16,4,23,183,S,R,30,50,60,45,20,35,50,65,50,25,65,65,60,65,55,60,50,20,20,0,0,0,0,0,50,0,30,0,45,65,50,40,20,20,30,20,20,30,20,80-83,47,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,H,L,L
970,"Ron Simmons",SP,144,14,14,1,26,185,L,L,35,40,20,25,30,40,40,25,25,35,25,30,55,20,35,30,25,20,20,40,0,0,0,0,0,0,0,0,20,20,25,35,20,50,55,60,50,55,65,90-92,60,80,65,55,0,0,0,30,65,0,0,0,0,0,0,55,0,0,0,35,65,0,0,0,0,0,0,L,L,H,N,L
976,"Jerry Daniels",RP,105,147,9,4,23,196,R,R,45,40,25,30,45,45,40,25,30,45,20,30,75,40,30,30,25,20,25,35,0,0,0,0,0,0,0,0,20,25,30,50,20,45,40,50,45,40,50,90-92,50,70,55,50,0,0,0,0,40,35,45,0,0,0,0,50,0,0,0,0,40,35,45,0,0,0,0,H,H,N,H,N
978,"Igram Toxopeus",SP,106,174,8,4,23,186,R,R,25,40,20,30,20,30,40,20,35,25,20,25,60,20,20,25,25,20,20,20,0,0,0,0,0,0,0,0,20,20,20,60,20,45,55,40,50,55,40,96-98,60,65,40,55,0,0,0,55,25,0,0,0,0,0,0,55,0,0,0,60,25,0,0,0,0,0,0,N,H,L,N,N
984,"Dave Ray",SP,105,151,28,4,22,184,R,R,25,30,20,20,25,25,30,20,20,25,20,25,40,30,30,35,30,20,25,20,0,0,0,0,0,0,0,0,20,20,30,70,20,50,40,40,60,40,45,94-96,55,60,65,55,0,50,50,55,0,0,0,0,0,0,0,60,0,60,55,60,0,0,0,0,0,0,0,N,H,L,H,N
994,"Ty Schultz",SP,107,157,22,4,23,196,L,L,40,40,20,25,35,40,40,20,25,45,30,30,50,20,30,30,45,20,20,40,0,0,0,0,0,0,0,0,25,20,30,50,20,55,45,50,60,45,50,95-97,51,55,75,60,0,0,50,40,0,0,0,0,0,0,0,65,0,0,60,55,0,0,0,0,0,0,0,N,N,N,N,N
1032,"Jon Clark",LF,0,0,0,0,22,179,R,R,40,45,25,45,35,45,50,30,55,45,30,30,60,25,40,55,80,20,20,0,0,0,0,0,0,40,0,0,40,40,20,50,40,20,25,20,20,25,20,80-83,39,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,N,H,N
1036,"Pat Giles",2B,108,176,15,4,23,177,R,R,40,50,25,50,40,45,50,25,55,50,50,40,40,65,45,45,35,20,20,0,0,0,45,0,0,0,0,0,75,60,55,55,35,20,30,20,20,30,20,80-83,42,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N
1038,"Loren Mills",LF,103,130,16,3,22,187,R,R,40,55,45,50,30,40,55,55,55,35,20,25,45,20,50,50,55,20,20,0,0,0,0,0,0,50,20,45,55,50,50,35,20,30,35,25,45,35,40,87-89,52,65,55,35,0,0,0,25,20,0,0,0,0,0,0,45,0,0,0,40,60,0,0,0,0,0,0,N,N,L,L,L
1066,"Doug Leach",SP,106,161,6,4,26,191,L,L,40,40,20,30,35,40,40,20,30,40,35,35,50,20,30,25,30,20,20,55,0,0,0,0,0,0,0,0,30,20,20,45,20,60,45,50,60,45,50,96-98,51,55,80,60,0,0,0,0,70,0,0,0,0,50,0,65,0,0,0,0,70,0,0,0,0,50,0,N,H,N,N,N
1075,"José Domínguez",CF,102,122,8,3,25,184,L,L,40,55,55,45,35,45,55,55,50,40,20,30,55,20,55,65,45,20,20,0,0,0,0,0,0,55,35,25,60,65,60,30,25,35,35,25,45,35,40,89-91,52,30,65,45,0,0,40,0,25,0,0,0,0,0,0,55,0,0,60,0,25,0,0,0,0,0,0,L,N,N,N,N
1088,"Leon Stark",1B,109,191,30,4,23,190,L,R,45,45,50,45,40,45,45,50,55,45,30,30,30,25,45,25,35,20,20,0,0,35,0,0,0,0,0,0,50,50,45,20,25,20,30,20,20,30,20,80-83,42,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,N
1103,"Jorge Molina",SP,102,116,19,3,23,189,L,L,25,35,20,30,25,25,35,20,30,25,30,25,55,20,30,30,25,20,20,45,0,0,0,0,0,0,0,0,20,20,30,45,25,45,50,55,55,50,60,92-94,49,75,75,50,0,0,50,0,0,0,0,45,0,0,0,55,0,0,60,0,0,0,0,65,0,0,0,H,N,N,N,N
1134,"Yong-su Lee",RP,0,0,0,0,35,195,L,R,25,40,20,20,25,25,40,20,20,25,25,20,30,25,25,25,25,20,20,30,0,0,0,0,0,0,0,0,30,25,30,60,20,55,60,55,55,60,55,90-92,57,60,75,0,0,60,0,30,55,0,0,0,0,0,0,0,0,60,0,30,55,0,0,0,0,0,0,N,H,L,N,N
1148,"Rodrigo Debaga",1B,109,204,2,4,23,189,R,R,50,70,45,30,65,55,70,45,35,70,45,40,40,40,20,45,25,20,20,0,0,60,0,0,0,0,0,0,35,35,25,40,20,20,30,20,20,30,20,80-83,49,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,L,N,N,N,N
