"ID","First Name","Last Name","Team ID","Parent Team ID","Level","Pos","Role","Age","Retired"
798,Walt,Barrett,0,0,0,6,0,37,0
803,Danny,Austin,177,7,4,8,0,22,0
804,Ken,Colbert,0,0,0,1,12,41,1
811,Joey,Smith,149,20,4,1,13,21,0
821,Esteban,Arenas,211,11,5,8,0,22,0
824,Willie,George,0,0,0,2,0,37,1
836,Julián,Córdova,165,7,4,3,0,22,0
839,Phil,Lundberg,178,23,4,1,12,22,0
842,Caleb,Stewart,0,0,0,7,0,41,1
859,Stan,Brown,167,26,4,1,11,22,0
861,Doug,Larsen,0,0,0,7,0,37,1
877,Liam,Edwards,0,0,0,1,12,22,0
880,Joe,Brown Jr.,154,4,4,1,12,25,0
885,Zach,Tuttle,258,17,6,1,11,22,0
892,Johnny,Smith,0,0,0,4,0,25,0
894,Joel,Williamson,168,19,4,4,0,25,0
896,Josh,Black,0,0,0,8,0,37,1
897,Luis,Pimentel,0,0,0,1,12,38,1
900,Tamwar,Razavi,139,26,3,4,0,22,0
902,Mario,Rodríguez,0,0,0,5,0,34,1
910,Steve,Cooper,0,0,0,7,0,26,0
913,Dave,Simmons,0,0,0,3,0,37,1
916,Jesús,Latife,0,0,0,1,12,34,1
921,Tim,Day,0,0,0,4,0,25,0
928,Jim,Sanders,0,0,0,8,0,37,1
934,Jin-yu,Lee,0,0,0,8,0,34,1
935,Mac,Norton,172,17,4,4,0,25,0
937,Leon,Carlson,378,28,6,5,0,21,0
946,Aurelio,Padilla,173,10,4,2,0,22,0
948,Robbie,Brown,0,0,0,1,11,37,1
951,Rubén,Santana,18,0,1,2,0,34,0
954,Cisco,Téllez,0,0,0,6,0,34,1
955,Josh,Jackson,0,0,0,1,12,40,1
965,Myron,Thompson,363,21,6,2,0,22,0
967,Wes,Bullock,0,0,0,1,12,37,1
969,Ken,Pomeroy,164,16,4,6,0,23,0
970,Ron,Simmons,14,0,1,1,11,26,0
976,Jerry,Daniels,147,9,4,1,12,22,0
978,Igram,Toxopeus,122,8,3,1,11,23,0
979,Bob,Reilly,0,0,0,5,0,40,1
981,Ken,Burke,0,0,0,2,0,40,1
984,Dave,Ray,151,28,4,1,11,22,0
987,Joe,Ramsey,0,0,0,8,0,37,1
992,Ángelo,Mateo,0,0,0,7,0,34,0
994,Ty,Schultz,157,22,4,1,11,22,0
1024,Erik,White,0,0,0,1,12,40,1
1031,Sebastián,Sandoval,0,0,0,6,0,34,1
1032,Jon,Clark,223,1,5,7,0,22,0
1036,Pat,Giles,155,15,4,4,0,23,0
1038,Loren,Mills,164,16,4,7,0,22,0
1043,Dan,Wright,0,0,0,8,0,42,1
1066,Doug,Leach,161,6,4,1,11,26,0
1072,Joe,Livings,0,0,0,6,0,37,1
1075,José,Domínguez,122,8,3,8,0,25,0
1088,Leon,Stark,210,30,5,3,0,23,0
1090,Bob,Davis,0,0,0,7,0,25,0
1103,Jorge,Molina,116,19,3,1,11,23,0
1108,Orlando,Hernández,0,0,0,5,0,37,1
1134,Yong-su,Lee,109,23,2,1,12,34,0
1140,Gary,Redman,0,0,0,1,12,38,1
1148,Rodrigo,Debaga,204,2,4,3,0,23,0
1150,Joe,Welch,0,0,0,1,12,41,1
1153,Shawn,Knight,0,0,0,3,0,25,0
1156,Orlando,Javier,0,0,0,2,0,35,1
1158,Frangy,Young,0,0,0,1,11,25,0
1166,Ben,Farr,165,7,4,1,12,22,0
1168,Pat,Boyd,207,19,5,1,11,22,0
1173,Curt,Cooper,0,0,0,1,13,40,1
1248,Sandro,Hernández,184,17,4,2,0,22,0
1265,Alex,Bregman,0,0,0,6,0,50,1
1284,Albert,García,113,9,2,9,0,38,0
1286,Jim,Cox,348,27,6,1,12,23,0
1298,Dan,Hall,167,26,4,8,0,25,0
1300,Steve,Henson,0,0,0,1,13,39,1
1313,Lonnie,Brantley,0,0,0,1,11,41,1
1319,Pat,Pope,191,30,4,1,12,22,0
1323,Greg,Graves,174,8,4,9,0,22,0
1345,Jeff,Pickup,0,0,0,1,12,37,1
1365,Tony,Stafford,0,0,0,5,0,40,1
1369,Rainer,Jochems,0,0,0,1,12,35,1
1389,Joey,Williams,226,25,5,4,0,22,0
1400,José,Garza,0,0,0,1,11,36,1
1430,Héctor,Castro,0,0,0,3,0,42,1
1437,Wilfred,Ayers,0,0,0,6,0,38,1
1445,Sean,Leach,0,0,0,1,11,39,1
1465,Joel,Pittman,0,0,0,4,0,40,1
1482,Zach,Anderson,154,4,4,1,11,26,0
1496,Arvid,Dekkers,0,0,0,1,11,37,1
1511,Wilson,Burgos,0,0,0,1,11,36,1
1522,Juan,Vázquez,0,0,0,1,11,36,1
1542,Sancho,Pagán,0,0,0,1,11,36,1
1547,Juan,Sovia,0,0,0,9,0,36,1
1583,Ron,Nesling,0,0,0,9,0,36,1
1584,Jesús,Esparza,0,0,0,2,0,36,1
1599,Steve,Murphy,0,0,0,1,12,41,1
1626,Ron,Channing,0,0,0,7,0,36,0
1656,Juan,Moreno,0,0,0,1,11,36,1
1676,Jonathan,Barr,116,19,3,1,12,25,0
1682,Edgardo,Maez,0,0,0,5,0,38,1
1697,Rob,Morrison,208,27,5,1,12,22,0
1712,José,Gómez,0,0,0,1,12,36,1
1714,Pancho,Rojas,167,26,4,1,12,25,0
1723,Man-ho,Lee,0,0,0,6,0,36,1
1732,Gyu-sik,Kim,0,0,0,1,12,36,1
1735,Alfredo,León,0,0,0,1,12,36,1
1739,Steve,Filmer,338,5,6,1,12,22,0
1751,José,Franco,0,0,0,8,0,26,0
1758,Mauro,Salas,0,0,0,1,12,26,0
1771,Tim,Keller,177,7,4,6,0,22,0
1778,Clive,Anderson,0,0,0,3,0,36,1
1780,Chae-pong,Kim,0,0,0,4,0,37,1
1796,José,Rodríguez,0,0,0,1,11,36,1
1810,Carlos A.,Lopez,0,0,0,1,12,46,1
1850,Alfredo,Solís,0,0,0,3,0,36,1
1854,Imeldo,Brown,157,22,4,1,11,22,0
1863,Doug,DePrendergast,0,0,0,2,0,26,0
1871,Manny,Rivera,94,3,2,7,0,25,0
1883,Edwin,Drew,205,19,4,2,0,22,0
1894,Lou,Jenkins,143,20,3,1,11,25,0
1919,Dave,Garrett,96,30,2,6,0,25,0
1936,Rob,Swinburn,186,1,4,7,0,23,0
1937,Juan,Moreno,0,0,0,8,0,37,1
1939,Steve,Ramsey,211,11,5,6,0,23,0
1941,Tim,Donahue,99,10,2,8,0,25,0
1947,Jake,Nancekevell,0,0,0,7,0,36,1
1960,Cole,McKay,0,0,0,1,12,47,1
1966,Steve,McKenzie,101,26,2,1,11,26,0
1969,José,Rodríguez,0,0,0,9,0,37,1
1977,Mike,Winter,175,18,4,8,0,26,0
1979,Walt,Peoples,111,24,2,5,0,25,0
1985,Alfredo,Mercado,90,18,2,1,11,22,0
1986,Al,Edwards,0,0,0,1,12,22,0
2001,Rubén,Montaño,0,0,0,1,11,35,0
2007,Dan,Richardson,0,0,0,4,0,26,0
2025,José,Solís,0,0,0,6,0,37,1
2044,Eddy,Demurias,0,0,0,4,0,47,1
2046,Arturo,Chávez,12,0,1,3,0,36,0
2057,Yeong-ha,Ahn,0,0,0,1,11,36,1
2092,Jalen,Miller,0,0,0,6,0,47,1
2116,Tony,Hortley,0,0,0,1,13,25,0
2159,Esteban,Acevedo,153,23,4,8,0,25,0
2162,Geoffrey,Shelton,95,2,2,1,11,25,0
2255,Darrell,Moore,263,1,6,1,12,21,0
2278,Joe,Williams,90,18,2,9,0,25,0
2286,Tural,Khimshiev,0,0,0,6,0,38,1
2287,Chad,Todd,195,13,4,4,0,22,0
2296,Phil,Pankridge,206,3,5,5,0,22,0
2300,Stan,Johnston,11,0,1,4,0,38,0
2314,Bob,Howard,0,0,0,7,0,26,0
2316,Shawn,Alston,0,0,0,1,11,41,1
2321,Billy,Wilcox,166,11,4,1,11,22,0
2324,Micheal,Smith,164,16,4,1,11,23,0
2343,Bob,Waller,199,25,4,2,0,22,0
2367,Steve,Farmer,128,11,3,2,0,25,0
2374,Jorge,Fernández,0,0,0,4,0,40,1
2375,Brit,Knowles,0,0,0,4,0,38,1
2377,Reagan,Bazar,0,0,0,1,12,48,1
2390,Claude,Mack,0,0,0,1,12,38,1
2394,Ed,Dunlap,0,0,0,1,12,41,1
2395,Miguel Angel,Ortíz,175,18,4,1,13,25,0
2398,Ed,Farley,0,0,0,1,11,41,1
2400,Ben,Hart,0,0,0,5,0,40,1
2402,Ted,Moore,347,29,6,4,0,22,0
2406,Stephen,Keller,0,0,0,1,12,46,1
2407,Kevin,Adjeng,186,1,4,7,0,22,0
2410,Johnathan,Lindsey,151,28,4,4,0,25,0
2413,Bob,Melton,137,17,3,8,0,26,0
2424,Raúl,Camacho,27,0,1,7,0,34,0
2435,Ed,Norman,0,0,0,1,12,39,1
2445,Moses,Wierenga,0,0,0,1,11,34,1
2448,Dusty,McCoy,157,22,4,1,11,22,0
2458,Mike,Gilbert,0,0,0,1,12,41,1
2459,Bo,Williamson,0,0,0,1,11,39,1
2461,Don,Carter,342,2,6,1,12,22,0
2473,Pat,Pickett,350,18,6,5,0,19,0
2474,Andy,Cummings,267,14,6,1,12,22,0
2480,Walt,Perkins,0,0,0,9,0,37,1
2481,Tim,Walker,0,0,0,1,12,22,0
2482,Ed,Miller,189,24,4,1,11,22,0
2497,Tommy,Glass,0,0,0,4,0,38,1
2502,Steeve,Raymond,107,28,2,9,0,25,0
2507,Bob,Thompson,0,0,0,1,11,38,1
2515,Dan,White,0,0,0,1,11,40,1
2535,Steve,Jones,195,13,4,7,0,23,0
2542,Dave,Small,160,2,4,1,12,25,0
2564,Sam,Small,0,0,0,6,0,40,1
2567,Tim,Webb,0,0,0,7,0,40,1
2572,Steve,O'Faelan,0,0,0,1,12,40,1
2573,Norm,Porter,0,0,0,4,0,38,1
2586,Toby,Gilmore,0,0,0,1,11,39,1
2602,Bob,Valentine,0,0,0,7,0,41,1
2618,Jorge,Muñóz,0,0,0,7,0,25,0
2623,Dewitt,King,223,1,5,1,11,22,0
2630,Dan,Battle,0,0,0,1,12,41,1
2646,Arturo,Vargas,226,25,5,4,0,22,0
2647,Jeremy,Burris,188,12,4,5,0,22,0
2674,Gilberto,Domínguez,212,22,5,1,12,22,0
2686,Douglas,Mabbett,0,0,0,8,0,35,0
2689,Rob,Wyatt,171,29,4,3,0,25,0
2699,Bay,Dang,363,21,6,1,11,22,0
2704,Steve,Harris,150,1,4,1,11,25,0
2707,Mike,Duncan,125,10,3,8,0,21,0
2711,Iván,Valdés,0,0,0,1,13,34,1
2714,Terence,Patterson,338,5,6,4,0,22,0
2727,Iván,Villanueva,158,30,4,2,0,25,0
2739,Chris,Craig,130,16,3,7,0,23,0
2757,Bob,Picot,126,30,3,9,0,26,0
2760,Jim,Thompson,184,17,4,5,0,22,0
2765,Dave,French,196,16,4,3,0,22,0
2774,Jeremy,Yates,0,0,0,1,12,43,1
2784,Rusty,Hood,163,5,4,10,0,22,0
2809,Willie,Jones,136,27,3,3,0,22,0
2814,Juan,Quintana,23,0,1,6,0,16,0
2815,Rubén,García,30,0,1,1,11,16,0
2816,Dan,Sorensen,240,6,6,8,0,19,0
2817,Álex,Camacho,257,4,6,7,0,19,0
2818,Ken,Brock,378,28,6,4,0,21,0
2819,Ken,Hammond,0,0,0,5,0,22,0
2820,Tommy,Penaranda,343,12,6,7,0,20,0
2821,Don,Rogers,240,6,6,9,0,19,0
2822,Robby,Smith,265,13,6,7,0,20,0
2823,Roger,Blais,154,4,4,7,0,25,0
2824,Ed,Estes,220,9,5,6,0,20,0
2825,Tim,Lane,343,12,6,5,0,21,0
2826,Marc,Sloan,347,29,6,4,0,21,0
2827,Steve,Mitchell,251,29,6,3,0,19,0
2828,Jerry,Cooke,364,27,6,2,0,21,0
2829,Bob,McKenzie,224,6,5,2,0,20,0
2830,Jorge,Martin,370,15,5,2,0,20,0
2831,Juan,Álvarez,0,0,0,7,0,36,1
2832,Brad,Clark,255,22,6,1,13,20,0
2833,Sam,Allen,484,0,10,3,0,21,0
2835,Derek,Knight,175,18,4,5,0,22,0
2836,Duane,Sanders,468,0,10,1,11,21,0
2839,Claude,Pegram,152,14,4,1,12,26,0
2840,Mitch,Mena,247,11,6,1,12,19,0
2841,Mike,West,348,27,6,1,11,21,0
2842,Bob,Madison,90,18,2,1,12,20,0
2843,Kurt,Ray,251,29,6,1,11,20,0
2844,Jeff,McCoy,252,10,6,1,12,20,0
2845,Norbert,Buntine,345,19,6,1,11,19,0
2846,Doug,Miller,286,23,6,3,0,19,0
2847,Artie,Daniels,242,24,6,9,0,20,0
2848,Ken,Wilson,266,15,6,4,0,20,0
2849,Tim,Martin,0,0,0,2,0,39,1
2850,Ed,Bryniarski,381,7,6,7,0,20,0
2851,Pat,Lynn,343,12,6,8,0,19,0
2852,Don,Allen,357,23,6,7,0,19,0
2853,Jared,Butler,287,12,6,6,0,21,0
2854,Tim,Cooper,227,29,5,5,0,20,0
2855,Ken,Penn,254,8,6,4,0,21,0
2856,Edmund,Chandler,364,27,6,3,0,21,0
2857,Chris,Holder,289,1,6,2,0,21,0
2858,Pete,Cox,251,29,6,2,0,21,0
2859,Rob,Ware,259,3,6,2,0,20,0
2860,Bob,Evans,0,0,0,1,12,21,0
2861,Jacob,Cason,12,0,1,1,12,35,0
2862,Phil,Stevenson,258,17,6,1,12,20,0
2863,Masayoshi,Matsuo,0,0,0,8,0,34,1
2864,Jeremy,Barton,212,22,5,1,12,21,0
2865,Rhys,Davidson,286,23,6,1,12,21,0
2867,Virgil,Ackerman,505,0,10,1,11,20,0
2869,Doug,Gentry,0,0,0,1,11,38,1
2870,Danny,Lowe,87,21,2,1,12,21,0
2871,Jorge,Morales,351,22,6,1,12,19,0
2872,José,García,238,16,6,1,11,19,0
2873,Andy,Russell,337,11,6,1,11,20,0
2874,Mike,Belew,356,20,6,1,12,19,0
2875,Andy,O'Neil,265,13,6,5,0,21,0
2876,Danny,Clark,339,13,6,7,0,19,0
2877,Chris,Knowles,369,16,5,6,0,21,0
2878,Dan,Walker,240,6,6,9,0,19,0
2879,Walt,Baker,338,5,6,8,0,19,0
2880,Steve,Holland,191,30,4,7,0,20,0
2881,Bernardo,Gómez,250,21,6,6,0,20,0
2882,Jake,Norman,266,15,6,5,0,19,0
2883,Dan,Bartlett,343,12,6,4,0,19,0
2884,Alan,Jackson,357,23,6,3,0,20,0
2885,Joel,Wright,371,14,5,2,0,21,0
2886,Dylan,Eisele,368,17,5,2,0,20,0
2887,Pat,Evans,364,27,6,2,0,21,0
2888,Kevin,Michael,247,11,6,1,11,19,0
2889,Alex,Conner,507,0,10,1,11,20,0
2890,José,Silva,216,4,5,1,12,20,0
2891,Dan,Boyd,507,0,10,1,11,20,0
2893,Chip,King,210,30,5,1,12,20,0
2895,Jim,Caraway,210,30,5,1,11,19,0
2896,Rodrigo,Meléndez,245,15,6,1,12,20,0
2897,Jonah,Wooten,286,23,6,1,11,20,0
2898,Willie,Camp,87,21,2,1,12,20,0
2899,Chad,Hart,257,4,6,1,11,20,0
2900,Alan,Morrison,241,14,6,9,0,20,0
2901,Tim,Sullivan,262,16,6,7,0,19,0
2902,Shigeaki,Higashi,0,0,0,2,0,22,0
2903,Joel,Howard,345,19,6,4,0,19,0
2904,Vince,Blair,257,4,6,9,0,20,0
2905,José Carlos,Miranda,116,19,3,1,11,25,0
2906,Dave,Delaney,113,9,2,2,0,22,0
2907,Chuck,Roy,289,1,6,8,0,21,0
2908,Doug,Neal,191,30,4,3,0,19,0
2909,Benny,Miles,343,12,6,6,0,20,0
2910,Gabe,Jones,0,0,0,7,0,25,0
2911,Stan,Montgomery,139,26,3,1,11,23,0
2912,Ian,Anderson,102,20,2,2,0,26,0
2913,Greg,Gardner,253,18,6,5,0,20,0
2914,Tim,Clark,286,23,6,3,0,19,0
2915,Charlie,Wilson,139,26,3,1,12,22,0
2916,Duane,Kelley,0,0,0,4,0,25,0
2917,António,Diéguez,257,4,6,3,0,20,0
2918,Sandy,White,111,24,2,1,12,26,0
2919,Leo,Adams,253,18,6,2,0,20,0
2920,Art,Wood,185,28,4,7,0,22,0
2921,Héctor,Vallés,160,2,4,9,0,22,0
2922,Walt,Davis,371,14,5,2,0,20,0
2923,Mike,Allen,162,12,4,8,0,25,0
2924,Jim,Hancock,0,0,0,9,0,37,1
2925,Juan,Ríos,362,10,6,2,0,19,0
2926,Jim,Marsh,475,0,10,1,13,20,0
2927,Dominic,Ferris,175,18,4,8,0,26,0
2928,Doug,Cramer,245,15,6,1,12,21,0
2929,Rob,Green,132,24,3,1,11,25,0
2930,Pat,Jones,358,30,6,1,12,21,0
2931,Zach,Mills,208,27,5,9,0,23,0
2932,Bobby,Miller,263,1,6,1,11,21,0
2933,Wilson,Cortéz,202,27,4,7,0,22,0
2934,Jim,Hall,136,27,3,7,0,22,0
2935,Steve,Holland,0,0,0,2,0,25,0
2936,Andy,O'Mullany,379,3,6,1,12,21,0
2937,Curt,Sullivan,263,1,6,1,13,19,0
2938,Randy,Mullins,373,2,5,6,0,23,0
2939,Sergio,Martínez,216,4,5,2,0,22,0
2940,Randy,Cooper,0,0,0,1,13,37,1
2941,Joe,McGhee,106,15,2,8,0,25,0
2942,Tynan,Reed,171,29,4,1,12,25,0
2943,Ben,Klein,291,9,6,1,12,20,0
2944,Jimmy,Rogers,363,21,6,3,0,22,0
2945,Dan,Hairston,243,20,6,1,12,20,0
2946,Artie,Bentley,0,0,0,1,11,40,1
2947,Steve,Stinson,193,8,4,1,11,22,0
2948,Otis,Pearcey,0,0,0,1,11,22,0
2949,Don,Moore,287,12,6,1,12,20,0
2950,Steve,Hocknell,214,26,5,1,11,19,0
2951,Tim,Cross,356,20,6,1,12,21,0
2952,Dwayne,Pichon,174,8,4,7,0,22,0
2953,Jon,Davis,191,30,4,1,12,21,0
2954,Xavier,Wood,193,8,4,3,0,22,0
2955,Dylan,Stamfordham,364,27,6,1,11,20,0
2956,Steve,Adinston,4,0,1,1,12,22,0
2957,Chris,Spears,0,0,0,7,0,25,0
2958,Daniel,Sánchez,265,13,6,7,0,20,0
2959,Sergio,Villa Jr.,90,18,2,1,11,25,0
2960,Jesús,Trejo,244,25,6,3,0,21,0
2961,Chris,Baker,252,10,6,7,0,19,0
2962,Ernie,Robinson,184,17,4,3,0,22,0
2963,Jim,Hastings,7,0,1,1,12,37,0
2964,Stu,Dixon,185,28,4,8,0,22,0
2965,Dave,Gilbert,364,27,6,1,11,23,0
2966,Eric,Bean,212,22,5,6,0,20,0
2967,Doug,Butler,338,5,6,3,0,19,0
2968,Pat,Johnson,242,24,6,8,0,20,0
2969,Pepe,Reyna,222,23,5,9,0,19,0
2970,Rubén,Mora,356,20,6,6,0,20,0
2971,Caleb,Martínez,248,26,6,5,0,20,0
2972,Lynwood,Tipton,361,6,6,4,0,20,0
2973,Leo,Rodríguez,241,14,6,3,0,21,0
2974,Dan,Bartlett,378,28,6,2,0,20,0
2975,Steve,Booth,247,11,6,2,0,19,0
2976,Dylan,Dillard,351,22,6,2,0,20,0
2978,Darrel,Hall,349,17,6,1,12,22,0
2979,Bo,Ritter,0,0,0,1,12,21,0
2980,Reginald,Mays,290,8,6,1,12,21,0
2981,Kauto,Laitinen,224,6,5,1,13,19,0
2982,Rusty,Lane,170,21,4,1,12,26,0
2983,Greg,Vaughan,343,12,6,6,0,22,0
2984,Dave,Barnett,250,21,6,1,12,19,0
2985,Ken,Davis,193,8,4,9,0,22,0
2986,Joe,Rodgers,0,0,0,1,12,22,0
2987,Jonathan,Mick,286,23,6,1,12,19,0
2988,Robbie,Ramey,472,0,10,3,0,21,0
2989,Jim,Kessler,0,0,0,1,12,25,0
2990,Joe,Poole,364,27,6,1,11,21,0
2991,Tyrone,Gary,357,23,6,1,11,19,0
2992,Dave,Kern,182,20,4,1,11,23,0
2993,Jeff,Gates,267,14,6,1,12,20,0
2994,Jim,Barnes,241,14,6,1,12,19,0
2995,Pat,Reed,254,8,6,1,11,20,0
2996,Alex,Graham,160,2,4,1,11,26,0
2997,Artie,McIntyre,0,0,0,1,11,26,0
2998,Kevin,Hicks,225,24,5,5,0,20,0
2999,Eddie,McHugo,258,17,6,8,0,20,0
3000,Dylan,Toccalino,258,17,6,3,0,20,0
3001,Don,Curtis,159,13,4,1,11,23,0
3002,Jared,Gillespie,0,0,0,7,0,26,0
3003,Steve,Nelson,96,30,2,1,12,26,0
3004,Hank,Taylor,0,0,0,9,0,21,0
3005,Josh,Carr,350,18,6,7,0,20,0
3006,Robbie,Rush,253,18,6,7,0,20,0
3008,Dan,Rowe,345,19,6,6,0,19,0
3009,Thom,Fields,239,28,6,3,0,19,0
3010,Tommy,Albright,286,23,6,4,0,21,0
3011,Al,Wallace,239,28,6,3,0,19,0
3012,Tito,Fagatti,211,11,5,2,0,21,0
3013,Jeff,Kane,361,6,6,3,0,19,0
3014,Chris,Sparks,286,23,6,2,0,21,0
3015,Lou,Dunn,243,20,6,1,12,20,0
3016,Dave,Harvey,248,26,6,1,11,21,0
3019,Pat,Jefferson,356,20,6,1,13,21,0
3020,Emmanuel,Hernández,0,0,0,1,12,20,0
3021,Bernardo,Gutiérrez,361,6,6,1,12,20,0
3022,Steve,Bell,247,11,6,1,11,19,0
3023,Glen,MacGruder,0,0,0,1,13,38,1
3024,Rodel,Nacional,267,14,6,1,11,21,0
3025,Jimmy,Prince,247,11,6,1,12,19,0
3027,Jeremy,Gary,339,13,6,1,12,20,0
3028,Ed,Alford,135,1,3,6,0,22,0
3029,Doug,King,238,16,6,7,0,21,0
3030,Arturo,Morales,227,29,5,7,0,20,0
3031,Doug,Williams,342,2,6,3,0,21,0
3032,Chuck,Matthews,175,18,4,8,0,26,0
3033,Danilo,Hernández,349,17,6,7,0,21,0
3034,Billy,Nichols,379,3,6,8,0,20,0
3035,Ron,Harris,160,2,4,4,0,25,0
3036,Josh,Cook,361,6,6,9,0,19,0
3037,Sam,Perry,254,8,6,5,0,20,0
3038,Rob,Fuller,129,7,3,1,11,23,0
3039,Adil,Hamza,257,4,6,5,0,21,0
3040,Ben,Foster,0,0,0,2,0,22,0
3041,Mal,Walker,260,7,6,4,0,20,0
3042,Theron,Kempink,0,0,0,3,0,20,0
3043,Jimmy,Gordon,184,17,4,2,0,20,0
3044,Thom,Tomlinson,257,4,6,2,0,19,0
3045,Dave,Dean,345,19,6,2,0,21,0
3046,Joel,Drew,342,2,6,1,11,21,0
3047,Joe,Boone,351,22,6,1,12,20,0
3049,Greg,Ross,264,9,6,1,11,20,0
3050,Tofik,Tarakhanov,379,3,6,1,12,21,0
3051,Dan,Simmons,174,8,4,5,0,23,0
3052,Wes,Lee,0,0,0,1,12,39,1
3053,Bobby,Scott,191,30,4,1,12,21,0
3054,Devin,Byrd,248,26,6,1,12,20,0
3055,Ken,Becker,216,4,5,1,11,21,0
3056,Joe,Johnston,256,7,6,1,12,21,0
3057,Cedric,Williams,192,22,4,4,0,22,0
3058,Desi,Hatcher,345,19,6,1,12,20,0
3059,Eric,Lerma,250,21,6,1,11,19,0
3060,Jeremiah,Lane,361,6,6,1,11,20,0
3061,Joe,Lambright,107,28,2,1,12,25,0
3062,Greg,Roberson,251,29,6,2,0,21,0
3063,Mike,Griffin,28,0,1,8,0,21,0
3064,Chad,Williams,351,22,6,4,0,19,0
3065,Bob,Fields,345,19,6,9,0,19,0
3066,Dan,Lawson,252,10,6,7,0,20,0
3067,Terence,Harvey,263,1,6,7,0,21,0
3068,Chet,Nichols,0,0,0,2,0,25,0
3069,Leon,Miller,345,19,6,6,0,21,0
3070,Jeremy,Pugh,253,18,6,5,0,20,0
3071,Ken,King,161,6,4,1,12,26,0
3072,Dan,Arredondo,369,16,5,2,0,22,0
3073,Sam,Wright,347,29,6,4,0,21,0
3074,Shaun,Everest,0,0,0,4,0,26,0
3075,Doug,Wotton,0,0,0,1,11,40,1
3076,Tim,Morris,252,10,6,3,0,20,0
3077,Kip,O'Hamil,184,17,4,1,12,22,0
3078,Mike,Waller,363,21,6,9,0,22,0
3079,Steve,Kelley,378,28,6,2,0,19,0
3080,Johnny,Peters,220,9,5,2,0,21,0
3081,Erden,Periganovlu,0,0,0,6,0,26,0
3082,Radoslaw,Hendzel,247,11,6,2,0,19,0
3083,Robby,Benton,9,0,1,1,12,25,0
3084,Tyrone,Rodríguez,460,0,10,1,12,21,0
3085,Andy,Tomsett,211,11,5,9,0,22,0
3087,Chris,Wilson,248,26,6,1,12,20,0
3088,Len,Tyler,216,4,5,1,13,20,0
3089,Ed,Lambert,143,20,3,1,12,23,0
3090,Jim,Head,339,13,6,1,12,20,0
3091,Robbie,Lewis,378,28,6,1,11,19,0
